"CNPJ","NOME_DA_INSTITUIÇÃO","SEGMENTO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICÍPIO","UF","DDD","FONE","ENDEREÇO_ELETRÔNICO","SÍTIO_NA_INTERNET","ano","mes","tipo"
"414464.000000","LÓPEZ LEÓN BROKERS BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."," Sociedades Distribuidoras de TVM","AV PAULISTA, 1728, 6 ANDAR",NA,"BELA VISTA","1310200.000000","SAO PAULO","SP","11.000000","33721500.000000","LOPEZLEONEBR@LOPEZLEON.COM","WWW.LOPEZLEON.COM","2007","10","sociedades"
"416968.000000","INTERMEDIUM - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."," Sociedades de Crédito  Financiamento e Investimento","AV. CONTORNO","7.777","LOURDES","30110051.000000","BELO HORIZONTE","MG","31.000000","21017000.000000","CONTABIL@INTERMEDIUM.COM.BR","INTERMEDIUM.COM.BR","2007","10","sociedades"
"419291.000000","MULTICRED - CORRETORA DE VALORES E CAMBIO S.A.","Sociedades Corretoras de TVM","SCS Q. 05  BL. C - ED. GUSTAVO NOMINATO","SOBRELOJA 110","ASA SUL","70305000.000000","BRASILIA","DF","61.000000","2253071.000000","MULTICRED@CONECTANET.COM.BR",NA,"2007","10","sociedades"
"460065.000000","COLUNA S/A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIÁRIOS"," Sociedades Distribuidoras de TVM","TRAVESSA DO OUVIDOR, 5, SALA 602",NA,"CENTRO","20040040.000000","RIO DE JANEIRO","RJ","21.000000","22245060.000000","COLUNA@COLUNADTVM.COM.BR",NA,"2007","10","sociedades"
"510570.000000","BESC S.A. - ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","AVENIDA PRESIDENTE KENNEDY, 86",NA,"CAMPINAS","88101000.000000","SAO JOSE","SC","48.000000",NA,"OPERACOES.LEASING@BESC.COM.BR",NA,"2007","10","sociedades"
"556603.000000","BARIGUI S.A. CREDITO, FINANCIAMENTO E INVESTIMENTOS"," Sociedades de Crédito  Financiamento e Investimento","AV. SETE DE SETEMBRO, 4751","SOBRELOJA, CONJUNTO 02","BATEL","80240000.000000","CURITIBA","PR","41.000000","30177777.000000","FINANCEIRA@BARIGUIFINANCEIRA.COM.BR","WWW.BARIGUIFINANCEIRA.COM.BR","2007","10","sociedades"
"589171.000000","SANTANDER BRASIL ARRENDAMENTO MERCANTIL S.A."," Sociedades de Arrendamento Mercantil ","RUA RIO GRANDE DO SUL, 247","1º ANDAR","CENTRO","9510020.000000","SAO CAETANO DO SUL","SP","11.000000","56357174.000000","JURIDSOCIETARIO@SANTANDERBANESPA.COM.BR","WWW.SANTANDERBANESPA.COM.BR","2007","10","sociedades"
"655522.000000","ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX","Associação de Poupança e Emprestimos","ESPL.MINISTERIOS BLOCO O  - ANEXO 1 -","EXERCITO BRASILEIRO","ASA NORTE","70052900.000000","BRASILIA","DF","61.000000","3147600.000000","MAIL@POUPEX.COM.BR","WWW.POUPEX.COM.BR","2007","10","sociedades"
"806535.000000","PLANNER CORRETORA DE VALORES S.A.","Sociedades Corretoras de TVM","AV. BRIGADEIRO FARIA LIMA, Nº 3900","10º ANDAR-COND.EDIF. PEDRO MARIZ-B31","ITAIM BIBI","4538132.000000","SAO PAULO","SP","11.000000","21722600.000000","PLANNER@PLANNERCORRETORA.COM.BR","WWW.PLANNER.COM.BR","2007","10","sociedades"
"997804.000000","OMNI DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA."," Sociedades Distribuidoras de TVM","AVENIDA SAO GABRIEL, 555 - 7.ANDAR - CONJ.701",NA,"JARDIM PAULISTA","1435001.000000","SAO PAULO","SP","11.000000","33653500.000000","OMNIDTVM@OMNI.COM.BR",NA,"2007","10","sociedades"
"999403.000000","INDUSTRIAL DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."," Sociedades Distribuidoras de TVM","AV. PRES. JUSCELINO KUBITSCHEK, 1703","2. ANDAR","ITAIM BIBI","4543000.000000","SAO PAULO","SP","11.000000","30499700.000000","DIRETORIA@BANCOINDUSTRIAL.COM.BR","WWW.BANCOINDUSTRIAL.COM.BR","2007","10","sociedades"
"1149953.000000","BV FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","AV ROQUE PETRONI JUNIOR 999 15 ANDAR CONJUNTO A",NA,"VL GERTRUDES","4707910.000000","SAO PAULO","SP","11.000000","51851700.000000","WEBMASTER@BVFINANCEIRA.COM.BR","WWW.BVFINANCEIRA.COM.BR","2007","10","sociedades"
"1170892.000000","VOTORANTIM - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.","Sociedades Corretoras de TVM","AV ROQUE PETRONI JUNIOR 999 16 ANDAR CONJUNTO B",NA,"VL. GERTRUDES","4707910.000000","SAO PAULO","SP","11.000000","51851700.000000","WEBMASTER@VOTORANTIMCORRETORA.COM.BR","WWW.VOTORANTIMFINANCAS.COM.BR","2007","10","sociedades"
"1432688.000000","OBOE CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."," Sociedades de Crédito  Financiamento e Investimento","AV. SENADOR VIRGILIO TAVORA, 1905",NA,"DIONISIO TORRES","60170251.000000","FORTALEZA","CE","85.000000","32613399.000000","OBOE@OBOE.COM.BR","WWW.OBOE.COM.BR","2007","10","sociedades"
"1488392.000000","BONCRED LEASING S/A - ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","AV. PEDRO ADAMS FILHO, 5757","SALA 1807","CENTRO","93310560.000000","NOVO HAMBURGO","RS","51.000000","35825757.000000","BONCRED@BONCRED.COM.BR","WWW.BONCRED.COM.BR","2007","10","sociedades"
"1507409.000000","APEMAT CREDITO IMOBILIARIO S.A."," Sociedades de Crédito Imobiliário - Repassadora","AVENIDA CALOGERAS, 213",NA,"VILA AMERICANA","79004383.000000","CAMPO GRANDE","MS","67.000000","3425577.000000","APEMAT@TERRA.COM.BR",NA,"2007","10","sociedades"
"1581283.000000","OBOE DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."," Sociedades Distribuidoras de TVM","AV. DESEMBARGADOR MOREIRA, 677",NA,"MEIRELES","60170000.000000","FORTALEZA","CE","85.000000","2613399.000000","OBOE@OBOE.COM.BR","WWW.OBOE.COM.BR","2007","10","sociedades"
"1582158.000000","OPPORTUNITY DISTRIBUIDORA DE TIT. E VALORES MOBILIARIOS LTDA"," Sociedades Distribuidoras de TVM","AV. PRESIDENTE WILSON, 231-28. ANDAR (PARTE)",NA,"CENTRO","20030021.000000","RIO DE JANEIRO","RJ","2.000000","15327255.000000","OPPORTUNITY@OPPORTUNITY.COM.BR",NA,"2007","10","sociedades"
"1638542.000000","CREDIT AGRICOLE BRASIL S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS"," Sociedades Distribuidoras de TVM","ALAMEDA ITU, 852, 16 ANDAR","16 ANDAR","JARDIM PAULISTA","1421001.000000","SAO PAULO","SP","11.000000","38966300.000000","VALTER.SHINTANI@BR.CALYON.COM","WWW.CALYON.COM.BR","2007","10","sociedades"
"1800019.000000","PORTOCRED S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","RUA DOS ANDRADAS 1001 CJ.1401",NA,"CENTRO","90020007.000000","PORTO ALEGRE","RS","51.000000","32116666.000000","ROSICLER@PORTOCRED.COM.BR","WWW.PORTOCRED.COM.BR","2007","10","sociedades"
"1852137.000000","BGN LEASING S.A.-ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","AV. DOM LUIS - 176 - CONJUNTO 1301 - PARTE","CONJUNTO 1301, PARTE","MEIRELES","6453000.000000","FORTALEZA","CE","85.000000","40129400.000000","BGN@BGN.COM.BR","WWW.BGN.COM.BR","2007","10","sociedades"
"1858774.000000","BV LEASING - ARRENDAMENTO MERCANTIL S.A."," Sociedades de Arrendamento Mercantil ","R. STA.CATARINA, 244, 5 A., CJ.B","11º ANDAR","CENTRO","9510120.000000","SAO CAETANO DO SUL","SP","11.000000","51851700.000000","WEBMASTER@BVFINANCEIRA.COM.BR","WWW.VOTORANTIMFINANÇAS.COM.BR","2007","10","sociedades"
"1963219.000000","CREDIBEL DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA."," Sociedades Distribuidoras de TVM","AV. PAULISTA, Nº 1754 16º ANDAR","1ª SOBRELOJA","BELA VISTA","18030420.000000","SAO PAULO","SP","11.000000","2835230.000000","CREDIBEL@CREDIBEL.COM.BR","WWW.CREDIBEL.COM.BR","2007","10","sociedades"
"2184143.000000","DEUTSCHE BANK - CORRETORA DE VALORES S.A.","Sociedades Corretoras de TVM","RUA ALEXANDRE DUMAS, 2200, 2. ANDAR",NA,"CHAC. STO. ANTONIO","4717910.000000","SAO PAULO","SP","11.000000","51895492.000000","ROSANA.SOUZA@DB.COM","WWW.DEUTSCHE-BANK.COM.BR","2007","10","sociedades"
"2201501.000000","MELLON SERVIÇOS FINANCEIROS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."," Sociedades Distribuidoras de TVM","RUA DA ASSEMBLEIA, 100, 17. ANDAR","11º ANDAR","CENTRO","20011000.000000","RIO DE JANEIRO","RJ","21.000000","38612168.000000","MELLON@MELLONBRASIL.COM.BR","WWW.MELLONBRASIL.COM.BR","2007","10","sociedades"
"2206577.000000","LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","AV. EUSEBIO MATOSO, 690 - 7. ANDAR - CJ 701 A 706","5º ANDAR","CENTRO","1044000.000000","SAO PAULO","SP","11.000000","31389200.000000","BIANCA.AZZI@UNIBANCO.COM.BR",NA,"2007","10","sociedades"
"2276653.000000","BBM ADMINISTRAÇÃO DE RECURSOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."," Sociedades Distribuidoras de TVM","AV. TANCREDO NEVES, 1632 - SALAS 301 A 304",NA,"CAMINHO DAS ÁRVORES","41820020.000000","SALVADOR","BA","71.000000","40096000.000000",NA,NA,"2007","10","sociedades"
"2332886.000000","AMERICAINVEST CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.","Sociedades Corretoras de TVM","RUA VISCONDE DE PIRAJA, 351","SALAS 1005 A 1008","IPANEMA","22410003.000000","RIO DE JANEIRO","RJ","21.000000","25232323.000000","LUCIANO@AMERICAINVEST.COM.BR","WWW.AMERICAINVEST.COM.BR","2007","10","sociedades"
"2507173.000000","CATERPILLAR FINANCIAL S.A. CREDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","R ALEXANDRE DUMAS, 1711","ED. BIRMANN 11 - 9º ANDAR - SETOR 2","CH SANTO ANTONIO","4717004.000000","SAO PAULO","SP","11.000000","21092200.000000","RENATO.KOJIMA@CAT.COM","WWW.CATFINANCIAL.COM.BR","2007","10","sociedades"
"2658435.000000","CATERPILLAR FINANCIAL S.A. ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","RUA ALEXANDRE DUMAS, 1711","ED. BIRMANN 11, 9º ANDAR, SETOR 2, SALA B","CHAC SANTO ANTONIO","4717004.000000","SAO PAULO","SP","11.000000","21092200.000000","RENATO.KOJIMA@CAT.COM","WWW.CATFINANCIAL.COM.BR","2007","10","sociedades"
"2670590.000000","MERRILL LYNCH S.A. CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS","Sociedades Corretoras de TVM","AV BRIGADEIRO FARIA LIMA, 3400, 16 ANDAR","PARTE A","ITAIM BIBI","4538132.000000","SAO PAULO","SP","11.000000","21884000.000000","RICARDO_LANFRANCHI@ML.COM",NA,"2007","10","sociedades"
"2671743.000000","CM CAPITAL MARKETS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"," Sociedades Distribuidoras de TVM","R GOMES DE CARVALHO, 1195, 4 ANDAR, SALA 2B",NA,"VILA OLIMPIA","4547004.000000","SAO PAULO","SP","11.000000","38421122.000000","SEC.CMBRASIL@CMCAPITALMARKETS.COM.BR","WWW.CAPI.ES","2007","10","sociedades"
"2678955.000000","ASM ASSET MANAGEMENT DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A"," Sociedades Distribuidoras de TVM","AV DAS AMÉRICAS 700","BLOCO 6- SALAS 325, 326 E 327","BARRA DA TIJUCA","22640100.000000","RIO DE JANEIRO","RJ","21.000000","21093700.000000","JROCHA@ASMASSET.COM.BR",NA,"2007","10","sociedades"
"2682287.000000","PANAMERICANO - ARRENDAMENTO MERCANTIL S.A."," Sociedades de Arrendamento Mercantil ","AVENIDA PAULISTA , 2240","13 ANDAR","CERQUEIRA CESAR","1310300.000000","SAO PAULO","SP","11.000000","21925118.000000",NA,NA,"2007","10","sociedades"
"2685483.000000","CM CAPITAL MARKETS CORRETORA CAMBIO TIT VAL MOB LTDA","Sociedades Corretoras de TVM","R GOMES DE CARVALHO, 1195","4 ANDAR - SALA 2A","VILA OLIMPIA","4547004.000000","SAO PAULO","SP","11.000000","38421122.000000","SEC.CMBRASIL@CMCAPITALMARKETS.COM.BR","WWW.CAPI.ES","2007","10","sociedades"
"2819125.000000","LINK S.A. CORRETORA DE CAMBIO, TITULOS E VALORES MOBILIARIOS","Sociedades Corretoras de TVM","RUA: LEOPOLDO COUTO DE MAGALHÃES JÚNIOR","Nº 758 - 10º ANDAR - CJ. 101","ITAIM BIBI","4542000.000000","SAO PAULO","SP","11.000000","31671276.000000","SANDRA@LINKCORRETORA.COM.BR","WWW.LINKCORRETORA.COM.BR","2007","10","sociedades"
"2927433.000000","DISTRIBUIDORA INTERCAP DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."," Sociedades Distribuidoras de TVM","AV. BRIGADEIRO FARIA LIMA, 1461","1.º E 2.º ANDARES - TORRE SUL","PINHEIROS","1451904.000000","SAO PAULO","SP","11.000000","30958200.000000","CNT@INTERCAP.COM.BR","WWW.INTERCAP.COM.BR","2007","10","sociedades"
"2992317.000000","TREVISO CORRETORA DE CÂMBIO LTDA"," Sociedades Corretoras de Câmbio","RUA JOAQUIM FLORIANO, 243","CONJS.  45, 46, 115 E 116","ITAIM BIBI","4534010.000000","SAO PAULO","SP","11.000000","37095811.000000",NA,"WWW.TREVISOCORRETORA.COM.BR","2007","10","sociedades"
"3014007.000000","QUALITY CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S.A.","Sociedades Corretoras de TVM","AV PRES JUSCELINO KUBITSCHEK, 50 - 9 ANDAR","CJ 92","ITAIM BIBI","4543000.000000","SAO PAULO","SP","11.000000","31670770.000000","INFINITY@INFINITYASSET.COM.BR",NA,"2007","10","sociedades"
"3203507.000000","M. SAFRA & CO. DISTRIBUIDORA DE TIT E VALS MOBILIARIOS S.A."," Sociedades Distribuidoras de TVM","AV BRIG FARIA LIMA 2277, 10 ANDAR",NA,"JD. PAULISTANO","1452000.000000","SAO PAULO","SP","11.000000","30386400.000000","EDSON.MAIOLI@MSAFRA.COM.BR",NA,"2007","10","sociedades"
"3215790.000000","TOYOTA LEASING DO BRASIL S.A. ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","AV.DAS NAÇÕES UNIDAS, 12.901","TORRE OESTE-10º ANDAR-CJ.1002 - SALA A","BROOKLIN","4578910.000000","SAO PAULO","SP","11.000000","43905535.000000",NA,NA,"2007","10","sociedades"
"3282508.000000","ICATU DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."," Sociedades Distribuidoras de TVM","AVENIDA PRESIDENTE WILSON, 231","9º ANDAR","CENTRO","20030905.000000","RIO DE JANEIRO","RJ","21.000000","38048500.000000","CPARAFITA@ICATU.COM.BR/JMCAN@ICATU.COM.BR","WWW.ICATU.COM.BR","2007","10","sociedades"
"3311443.000000","PARATI - CREDITO, FINANCIAMENTO E INVESTIMENTO S.A."," Sociedades de Crédito  Financiamento e Investimento","AV. NOSSA SENHORA DA PENHA, 699, TORRE A","SALAS 405 A 407","PRAIA DO CANTO","29055131.000000","VITORIA","ES","27.000000","21234777.000000","CONTATO@PARATI-CFI.COM.BR",NA,"2007","10","sociedades"
"3317692.000000","PETRA - PERSONAL TRADER - CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA.","Sociedades Corretoras de TVM","RUA CARNEIRO LOBO 468","10 ANDAR","AGUA VERDE","80240240.000000","CURITIBA","PR","11.000000","35269001.000000","PETRA@PERSONALTRADER.COM.BR","HTTP://WWW.PERSONALTRADER.COM.BR","2007","10","sociedades"
"3384738.000000","VOTORANTIM ASSET MANAGEMENT DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA"," Sociedades Distribuidoras de TVM","AV ROQUE PETRONI JUNIOR, 999 10 AND",NA,"VILA GERTRUDES","4707910.000000","SAO PAULO","SP","11.000000","51851603.000000","WEBMASTER@VAM.COM.BR","WWW.VAM.COM.BR","2007","10","sociedades"
"3443143.000000","AVIPAM CORRETORA DE CAMBIO LTDA."," Sociedades Corretoras de Câmbio","AV. RIO BRANCO, 251-B (PARTE)",NA,"CENTRO","20040009.000000","RIO DE JANEIRO","RJ","21.000000","21080909.000000","CAMBIO@AVIPAM.COM.BR",NA,"2007","10","sociedades"
"3456984.000000","RÓTULA S/A CRÉDITO, FINANCIAMENTO E INVESTIMENTOS"," Sociedades de Crédito  Financiamento e Investimento","AVENIDA GETÚLIO VARGAS, 61","PARTE","CENTRO","36700000.000000","LEOPOLDINA","MG","32.000000","34415199.000000","ADRIANO@ROTULASA.COM.BR","WWW.ROTULASA.COM.BR","2007","10","sociedades"
"3468098.000000","BONCRED FINANCEIRA S.A.-CREDITO,FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","AV.PEDRO ADAMS FILHO, 5757","SALA 1806","CENTRO","93310560.000000","NOVO HAMBURGO","RS","51.000000","35825757.000000","BONCRED@BONCRED.COM.BR","WWW.BONCRED.COM.BR","2007","10","sociedades"
"3476483.000000","IPACRED - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA","Sociedades de Crédito ao Microempreendedor ","RUA MOGNO,3",NA,"HORTO","35160308.000000","IPATINGA","MG","31.000000","38248800.000000","IPACRED@HOTMAIL.COM",NA,"2007","10","sociedades"
"3502968.000000","PSA FINANCE ARRENDAMENTO MERCANTIL S.A."," Sociedades de Arrendamento Mercantil ","RUA MIGUEL YUNES, 351","1º ANDAR PRÉDIO 1","INTERLAGOS","4444000.000000","SAO PAULO","SP","11.000000","21331767.000000",NA,NA,"2007","10","sociedades"
"3512293.000000","FITTA DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A."," Sociedades Distribuidoras de TVM","RUA JOSÉ AUGUSTO PENTEADO, Nº 92",NA,"SUMAREZINHO","1257010.000000","SAO PAULO","SP","11.000000","33696663.000000",NA,"WWW.FITTADTVM.COM.BR","2007","10","sociedades"
"3634239.000000","HONDA LEASING S.A. - ARRENDAMENTO MERCANTIL"," Sociedades de Arrendamento Mercantil ","AV DR AUGUSTO DE TOLEDO, 493 E 495",NA,"CENTRO","9541520.000000","SAO CAETANO DO SUL","SP","11.000000","42272572.000000","CONTABILIDADE@HONDABR.COM.BR",NA,"2007","10","sociedades"
"3635061.000000","CREDBRASIL - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA","Sociedades de Crédito ao Microempreendedor ","R MARIA DAS DORES LEAL DE QUEIROZ, 784, CJ 06",NA,"CENTRO","13140000.000000","PAULINIA","SP","19.000000","38741882.000000",NA,NA,"2007","10","sociedades"
"3722919.000000","CETELEM BRASIL S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","ALAMEDA TOCANTINS, 280","FRENTE","ALPHAVILLE","6455020.000000","BARUERI","SP","11.000000","35559907.000000","INFO@CETELEM.COM.BR","WWW.CETELEM.COM.BR","2007","10","sociedades"
"3725250.000000","FAR S.A. DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS"," Sociedades Distribuidoras de TVM","RUA DR. RENATO PAES DE BARROS, Nº 1017","11º E 12º ANDARES","ITAIM BIBI","4530001.000000","SAO PAULO","SP","11.000000","30499100.000000","WAPPEL@BANCOFATOR.COM.BR","WWW.FATORONLINE.COM.BR","2007","10","sociedades"
"3816975.000000","ARKHE DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A."," Sociedades Distribuidoras de TVM","RUA SETE DE SETEMBRO, 71","SALA 2201","CENTRO","20050005.000000","RIO DE JANEIRO","RJ","21.000000","25177700.000000","ARKHE@ARKHE.COM.BR",NA,"2007","10","sociedades"
"3881423.000000","SOCINAL- SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR LTDA.","Sociedades de Crédito ao Microempreendedor ","AV. JOHN KENNEDY, 150, SALAS 241 E 242",NA,"CENTRO","28970000.000000","ARARUAMA","RJ","22.000000","26652417.000000","SOCINAL@ARARUAMA.COM.BR",NA,"2007","10","sociedades"
"3882245.000000","ALPES CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS S/A","Sociedades Corretoras de TVM","AV PAULISTA, 1754, 8 ANDAR",NA,"BELA VISTA","1310200.000000","SAO PAULO","SP","11.000000","31470700.000000","ALPES@ALPES2.COM","WWW@ALPES2.COM","2007","10","sociedades"
"3884810.000000","ALDRAVA S.A. - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR","Sociedades de Crédito ao Microempreendedor ","RUA MÉXICO 111, SALA 1101",NA,"CENTRO","20031145.000000","RIO DE JANEIRO","RJ","21.000000","22406319.000000","ALDRAVA@UOL.COM.BR",NA,"2007","10","sociedades"
"4020986.000000","INTERFLOAT HZ CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA.","Sociedades Corretoras de TVM","RUA BOA VISTA, 63","5º ANDAR","CENTRO","1014001.000000","SAO PAULO","SP","11.000000","32926555.000000","INTERFLOAT@INTERFLOAT.COM.BR","WWW.INTERFLOAT.COM.BR","2007","10","sociedades"
"4062902.000000","VISION S.A. CORRETORA DE CAMBIO"," Sociedades Corretoras de Câmbio","RUA BOA VISTA, 186 - 5 ANDAR - CONJ. B/C",NA,"CENTRO","1014000.000000","SAO PAULO","SP","11.000000","31045116.000000","VISION@VISIONCC.COM.BR","WWW.VISIONCC.COM.BR","2007","10","sociedades"
"4068419.000000","EBS CAPITAL CORRETORA DE CÂMBIO S/A"," Sociedades Corretoras de Câmbio","RUA HADDOCK LOBO, Nº 746","6º,7º E 8º ANDARES","CERQUEIRA CESAR","1414000.000000","SAO PAULO","SP","11.000000","30880343.000000","CONTATO@EBSCAPITAL.COM.BR","WWW.EBSCAPITAL.COM.BR","2007","10","sociedades"
"4160039.000000","MAPFRE DISTRIBUIDORA  DE TÍTULOS E VALORES MOBILIÁRIOS S/A"," Sociedades Distribuidoras de TVM","AV. NAÇÕES UNIDAS, 11.711- 17 º ANDAR",NA,"BROOKLIN","4578000.000000","SAO PAULO","SP","11.000000","51128191.000000","MAPFREDTVM@MAPFRE.COM.BR",NA,"2007","10","sociedades"
