"CNPJ","NOME_DA_INSTITUIÇÃO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICÍPIO","UF","DDD","FONE","TIPO_COOPERATIVA","CLASSE_COOPER","ENDEREÇO_ELETRÔNICO","SÍTIO_NA_INTERNET","ano","mes","tipo"
"288098.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS EM SANEAMENTO DO ESTADO DE MATO GROSSO - SICOOB CREDISAN","AV CORONEL ESCOLASTICO, 365",NA,"BANDEIRANTES","78010200.000000","CUIABA","MT","65.000000","39011280.000000","Crédito Mútuo","Singular","CREDISAN@TERRA.COM.BR","CREDISAN@SICOOBMTMS.COOP.BR","2007","10","cooperativas"
"309024.000000","CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE","AV. DO CONTORNO, N.4924 - 3º, 5º E 6º ANDARES",NA,"FUNCIONARIOS","30110032.000000","BELO HORIZONTE","MG","31.000000","21048700.000000","Crédito Mútuo","Central","CECREMGE@CECREMGE.ORG.BR","WWW.CECREMGE.ORG.BR","2007","10","cooperativas"
"315406.000000","COOPERATIVA DE CRÉDITO RURAL CAZOLA","RUA ABRAO DAUD CHADE, 490",NA,"CENTRO","17780000.000000","LUCELIA","SP","18.000000","35513444.000000","Crédito Rural","Singular","CREDICAZOLA@TERRA.COM.BR",NA,"2007","10","cooperativas"
"315557.000000","CONFEDERAÇÃO NACIONAL DAS COOPERATIVAS CENTRAIS UNICRED'S - UNICRED DO BRASIL","ALAMEDA SANTOS, 1827-9 A - CJ. 91",NA,"CERQUEIRA CESAR","1419909.000000","SAO PAULO","SP","11.000000","32659712.000000","Crédito Mútuo","Confederação","UNICREDBR@UNICRED.COM.BR","WWW.UNICRED.COM.BR","2007","10","cooperativas"
"429890.000000","COOPERATIVA DE CRÉDITO DE CAMPOS ALTOS LTDA - SICOOB CREDIAGRO","RUA TIRADENTES","525","CENTRO","38970000.000000","CAMPOS ALTOS","MG","37.000000","34262222.000000","Livre Admissão - população até 300 mil habitantes","Singular","CAMPAL310300@SICOOBCREDIMINAS.COM.BR",NA,"2007","10","cooperativas"
"484473.000000","SICOOB COOPEA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA CEPLAC NA AMAZÔNIA ORIENTAL LTDA.","RODOVIA AUGUSTO MONTENEGRO, KM 7",NA,"PARQUE VERDE","66635110.000000","BELEM","PA","91.000000","32488610.000000","Crédito Mútuo","Singular","COOPEA2005@YAHOO.COM.BR",NA,"2007","10","cooperativas"
"512839.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO SEMASA","AVENIDA JOSE CABALLERO, 143","2  ANDAR","CENTRO","9040210.000000","SANTO ANDRE","SP","11.000000","44339839.000000","Crédito Mútuo","Singular","COOPCECRESA@TERRA.COM.BR",NA,"2007","10","cooperativas"
"543968.000000","COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DO ESTADO DE SANTA CATARINA LTDA. - UNICRED CENTRAL SC","RUA TENENTE SILVEIRA, 315","3º ANDAR","CENTRO","88010301.000000","FLORIANOPOLIS","SC","48.000000","32215600.000000","Crédito Mútuo","Central","ADMINISTRACAO@UNICREDCENTRALSC.COM.BR","WWW.UNICREDCENTRALSC.COM.BR","2007","10","cooperativas"
"548980.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DO GRUPO SUGGAR LTDA.","R. JERONIMO MARCUCCI, 82",NA,"OLHOS D'AGUA","30390150.000000","BELO HORIZONTE","MG","31.000000","32801343.000000","Crédito Mútuo","Singular","SUGCOOP@SUGGAR.COM.BR",NA,"2007","10","cooperativas"
"599085.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÕES  DE PASSOS LTDA.","PRAÇA MONSENHOR MESSIAS BRAGANÇA,  4",NA,"CENTRO","37900084.000000","PASSOS","MG","35.000000","35217688.000000","Crédito Mútuo","Singular","CREDIACIP@UOL.COM.BR",NA,"2007","10","cooperativas"
"692214.000000","CENTRAL DAS COOPERATIVAS DE CRÉDITO DO DISTRITO FEDERAL LTDA.","SCS QUADRA 06 EDIFICIO SOFIA 5 ANDAR, SALA 501","BLOCO A Nº 50","ASA SUL","70306902.000000","BRASILIA","DF","61.000000","32045000.000000","Crédito Mútuo","Central","SICOOBDF@SICOOBDF.COOP.BR","WWW.SICOOBDF.COOP.BR","2007","10","cooperativas"
"694389.000000","COOPERATIVA DE CREDITO RURAL SAO JOSE DO CERRITO-SICOOBSC-CREDICARU","RUA ANACLETO DA SILVA ORTIZ, 166",NA,"CENTRO","88570000.000000","SAO JOSE DO CERRITO","SC","49.000000","32421257.000000","Crédito Rural","Singular","CREDISJC@TERRA.COM.BR",NA,"2007","10","cooperativas"
"694877.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL EM BRASÍLIA LTDA.","ESPLANADA DOS MINISTERIOS, BL.D, ANEXO B, SALA 06,","TERREO","PLANO PILOTO","70043900.000000","BRASILIA","DF","61.000000","21011200.000000","Crédito Mútuo","Singular","SICOOBEXECUTIVO@SICOOBEXECUTIVO.COM.BR","WWW.SICOOBEXECUTIVO.COM.BR","2007","10","cooperativas"
"698609.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COMERCIANTES DE CONFECÇÃO DE PARACATU E REGIÃO NOROESTE DE MINAS GERAIS LTDA - SICOOB CREDIPARNOR","AV. DEPUTADO QUINTINO VARGAS 434",NA,"CENTRO","38600000.000000","PARACATU","MG","38.000000","36715755.000000","Crédito Mútuo","Singular","CREDIPARNOR@ADA.COM.BR",NA,"2007","10","cooperativas"
"707903.000000","COOPERATIVA DE CREDITO RURAL VALE DO CANOAS","AV. 26 DE ABRIL, 997","SALA","CENTRO","89636000.000000","ABDON BATISTA","SC","49.000000","35451206.000000","Crédito Rural","Singular","CREDICANOAS@TERRA.COM.BR",NA,"2007","10","cooperativas"
"731320.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA MORLAN-CREDMORLAN","RUA 14, 1126",NA,"CENTRO","14620000.000000","ORLANDIA","SP","16.000000","38204000.000000","Crédito Mútuo","Singular","NELSON@MORLAN.COM.BR","WWW.MORLAN.COM.BR","2007","10","cooperativas"
"747017.000000","COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE DE OURO PRETO LTDA.","LARGO DO ROSARIO,78",NA,"ROSARIO","35400000.000000","OURO PRETO","MG","31.000000","35513376.000000","Crédito Mútuo","Singular","OUROPRETO@UNICREDINCONFIDENTES.COM.BR","WWW.UNICREDMG.COM.BR","2007","10","cooperativas"
"778858.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO DISTRITO FEDERAL LTDA","SCS - Q. 07 - BL. A, ED.TORRE DO PATIO BRASIL 1311",NA,"ASA SUL","70300911.000000","BRASILIA","DF","61.000000","32263321.000000","Crédito Mútuo","Singular",NA,NA,"2007","10","cooperativas"
"803287.000000","COOPERATIVA DE CRÉDITO RURAL DE VAZANTE LTDA. - SICOOB CREDIVAZ","RUA ALVES ROSA","325","CENTRO","38780000.000000","VAZANTE","MG","34.000000","38130972.000000","Crédito Rural","Singular","CREDIVAZ@VAZANTE.COM.BR",NA,"2007","10","cooperativas"
"804046.000000","COOPERATIVA DE CREDITO DE CAPITÓLIO LTDA - SICOOB CREDICAPI","PRAÇA PADRE JOÃO MACHADO","400","CENTRO","37930000.000000","CAPITOLIO","MG","37.000000","33731200.000000","Livre Admissão - população até 300 mil habitantes","Singular","CREDICAPI@CREDICAPI.COM.BR",NA,"2007","10","cooperativas"
"815319.000000","COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO - SICOOB SUL-SERRANO","AVENIDA ANGELO ALTOÉ, 340",NA,"SÃO PEDRO","29375000.000000","VENDA NOVA DO IMIGRANTE","ES","28.000000","35463020.000000","Livre Admissão - população até 300 mil habitantes","Singular","ADM-VENDANOVA@SICOOBES.COM.BR","WWW.SICOOBES.COM.BR","2007","10","cooperativas"
"852242.000000","COOPERATIVA DE CREDITO RURAL CONQUISTA DE FRIBURGO LTDA.","AV. ANTONIO MARIO DE AZEVEDO, 20.000","LOJA 5","CONQUISTA","28630250.000000","NOVA FRIBURGO","RJ","22.000000","25294213.000000","Crédito Rural","Singular","COOPCONQUISTA@UOL.COM.BR",NA,"2007","10","cooperativas"
"869687.000000","COOPERATIVA DE CRÉDITO RURAL DE BOA ESPERANÇA LTDA. - SICOOB BELCREDI","AVENIDA JOAO JULIO DE FARIA","135","CENTRO","37170000.000000","BOA ESPERANCA","MG","35.000000","38511060.000000","Crédito Rural","Singular","BELCREDI.CONTABILIDADE@VELOXMAIL.COM.BR",NA,"2007","10","cooperativas"
"871091.000000","COOPERATIVA DE CRÉDITO DOS FUNCIONÁRIOS DA SCHAEFFLER BRASIL   COOPERFAG","AVENIDA DAS NACOES UNIDAS, 21612",NA,"SANTO AMARO","4795913.000000","SAO PAULO","SP","11.000000","34918769.000000","Crédito Mútuo","Singular","LEIA.PEREIRA@BR.FAG.COME/OUJOSE.MELO@BR.FAG.COM",NA,"2007","10","cooperativas"
"881829.000000","COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE JABOTICABAL - COOPERSERV","PRAÇA DR. JORGE TIBIRIÇÁ, 77",NA,"CENTRO","14870095.000000","JABOTICABAL","SP","16.000000","32023414.000000","Crédito Mútuo","Singular","COOPERSERV@ASBYTE.COM.BR","WWW.COOPERSERV.ORG.BR","2007","10","cooperativas"
"912488.000000","COOPERATIVA DE CRÉDITO DO LAGO TRÊS MARIAS LTDA. - SICOOB CREDINOVA","PRAÇA DR. AGENOR SOARES DOS SANTOS","188","CENTRO","35628000.000000","MORADA NOVA DE MINAS","MG","38.000000","37551464.000000","Livre Admissão - população até 300 mil habitantes","Singular","CREDINOVA@CREDINOVA.COOP.BR",NA,"2007","10","cooperativas"
"913314.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA MAGNESITA S.A.LTDA - CECREM","AV. JOSÉ FARIA DA ROCHA, 2232",NA,"ELDORADO","32315040.000000","BELO HORIZONTE","MG","31.000000","33918130.000000","Crédito Mútuo","Singular","CECREM@UAI.COM.BR",NA,"2007","10","cooperativas"
"915950.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES MUNICIPAIS DE SÃO PAULO - COOPERCREDI - SP","R. BOA VISTA, 314","3º ANDAR - CONJ. G","CENTRO","1014909.000000","SAO PAULO","SP","11.000000","32428262.000000","Crédito Mútuo","Singular","JANAINE@COOPERCREDI-SP.ORG.BR","WWW.COOPERCREDI-SP.ORG.BR","2007","10","cooperativas"
"918800.000000","UNICRED DE NOVA FRIBURGO - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DE SAUDE DE NOVA FRIBURGO LTDA","PRAÇA DERMEVAL BARBOSA MOREIRA, 14 SALAS 102/103",NA,"CENTRO","28610160.000000","NOVA FRIBURGO","RJ","22.000000","25233857.000000","Crédito Mútuo","Singular","DIRETORIA@UNICRED-NFRIBURGO.COM.BR","WWW.UNICRED-NFRIBURGO.COM.BR","2007","10","cooperativas"
"928993.000000","COOPERATIVA DE CRÉDITO URBANO DOS CIRURGIÕES-DENTISTAS E OUTROS PROFISSIONAIS NA ÁREA DE SAÚDE DE CUIABÁ LTDA.-COOPERODONTO","RUA DESEMBARGADOR FERREIRA MENDES, 253",NA,"CENTRO","78020200.000000","CUIABA","MT","65.000000","6222251.000000","Crédito Mútuo","Singular","COOPEROD@TERRA.COM.BR",NA,"2007","10","cooperativas"
"946465.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA PREFEITURA MUNICIPAL DE ORLÂNDIA - CRED SERV","AVENIDA 3 Nº 425",NA,"CENTRO","14620000.000000","ORLANDIA","SP","16.000000","38208018.000000","Crédito Mútuo","Singular","CECMSPMO@COM4.COM.BR",NA,"2007","10","cooperativas"
"952415.000000","COOPERATIVA DE ECONOMIA E CREDITO MÚTUO DOS FUNCIONÁRIOS MINISTERIO DA FAZENDA E DOS ORGAOS DA EST. DA PRES.REP","SCS-Q.5- BL.C - ENT. 165/169- GALERIA NOVA OUVIDOR",NA,"ASA SUL","70305921.000000","BRASILIA","DF","61.000000","30358299.000000","Crédito Mútuo","Singular","CREDFAZ@CREDFAZ.COM.BR","WWW.CREDFAZ.COM.BR","2007","10","cooperativas"
"953908.000000","COOPERATIVA DE ECONOMIA E CRÉDITO DOS EMPREGADOS DA PETROBRÁS - PETROCRED","RUA CORREIA DIAS, 184","5º ANDAR SALA 52","PARAISO","4104000.000000","SAO PAULO","SP","11.000000","50821616.000000","Crédito Mútuo","Singular","FALECOM@PETROCRED.COM.BR",NA,"2007","10","cooperativas"
"966246.000000","COOPERATIVA DE CRÉDITO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ","PRACA PADRE ERNESTO ODINO, 1121",NA,"CENTRO","18730000.000000","ITAI","SP","14.000000","37611449.000000","Crédito Rural","Singular","CREDICERIPA@UOL.COM.BR",NA,"2007","10","cooperativas"
"968602.000000","COOPERATIVA DE CREDITO DO VALE DO SAO PATRICIO LTDA","AV. BRASIL, 330",NA,"CENTRO","76380000.000000","GOIANESIA","GO","62.000000","33531651.000000","Livre Admissão - população até 300 mil habitantes","Singular","COOPERCRED@SICOOBGOIAS.COM.BR",NA,"2007","10","cooperativas"
"968834.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA GOIÁS FERTILIZANTES S/A - GOIÁSFERTIL - 'COCRESGO' LTDA.","RUA CORONEL AFONSO PARANHOS, 534-A",NA,"CENTRO","75701470.000000","CATALAO","GO","64.000000","34118717.000000","Crédito Mútuo","Singular","ARGEMIRODAVID@BRTURBO.COM.BROUARGEMIRO@FOSFERTIL.COM.BR",NA,"2007","10","cooperativas"
"969423.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA SAÚDE DE PINDAMONHANGABA - UNICRED DE PINDAMONHANGABA","R. DR. FREDERICO MACHADO, 132 1º ANDAR SALA 15",NA,"CENTRO","12410040.000000","PINDAMONHANGABA","SP","12.000000","36429010.000000","Crédito Mútuo","Singular","GERENCIA@UNICRED-PINDA.COM.BR/UNICREDP@BIGHOST.COM.BR",NA,"2007","10","cooperativas"
"971297.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE MARMELEIRO - CRESOL MARMELEIRO","AVENIDA DAMBROS DE PIVA, 369","CENTRO","CENTRO","85615000.000000","MARMELEIRO","PR","46.000000","35251735.000000","Crédito Rural","Singular","MARMELEIRO@CRESOL.COM.BR","CRESOL.COM.BR","2007","10","cooperativas"
"971300.000000","COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE DOIS VIZINHOS - CRESOL DOIS VIZINHOS","AVENIDA 28 DE NOVEMBRO, 71","CENTRO","CENTRO","85660000.000000","DOIS VIZINHOS","PR","46.000000","35361308.000000","Crédito Rural","Singular","DOISVIZINHOS@CRESOL.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
"977212.000000","COOPERATIVA DE CRÉDITO DOS EMPREGADOS DO GRUPO COPERSUCAR E CTC   UNICOPER","AV. PAULISTA, 287","1º. ANDAR - UNICOPER","BELA VISTA","1311000.000000","SAO PAULO","SP","11.000000","66188694.000000","Crédito Mútuo","Singular","UNICOPER@UOL.COM.BR",NA,"2007","10","cooperativas"
"991739.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DA REGIÃO METROPOLITANA DE BELÉM LTDA. - CREDBEM","TRAVESSA CURUZU, 1925","ENTRE AV. ALMIRANTE BARROSO E AV. 25 DE SETEMBRO","MARCO","66093540.000000","BELEM","PA","91.000000","32461616.000000","Crédito Mútuo","Singular","CREDBEM@SICOOBAMAZONIA.COOP.BR",NA,"2007","10","cooperativas"
"1009908.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO  DOS COMERCIANTES DE CONFECÇÕES DE PARÁ DE MINAS LTDA.","RUA BENEDITO VALADARES,51",NA,"CENTRO","35660000.000000","PARA DE MINAS","MG","37.000000","32323535.000000","Crédito Mútuo","Singular","ASCICRED@ASCICRED.COM.BR",NA,"2007","10","cooperativas"
"1035852.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA SAÚDE DE BELO HORIZONTE LTDA - UNICRED-BH","AV. BERNARDO MONTEIRO, 1152",NA,"FUNCIONÁRIOS","30150281.000000","BELO HORIZONTE","MG","31.000000","32177373.000000","Crédito Mútuo","Singular","UNICREDBH@UNICREDBH.COM.BR","WWW.UNICREDBH.COM.BR","2007","10","cooperativas"
"1039011.000000","COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE E DE CONTABILISTAS DO OESTE CATARINENSE LTDA - UNICRED OESTE CATARINENSE","RUA PORTO ALEGRE, 132-D",NA,"CENTRO","89802130.000000","CHAPECO","SC","49.000000","33230648.000000","Crédito Mútuo","Singular","UNICRED@UNICRED-OESTESC.COM.BR","WWW.UNICRED-OESTESC.COM.BR","2007","10","cooperativas"
"1042487.000000","ELETROCRED - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS  EMPREGADOS DA ELETRONORTE LTDA","AV. PERIMETRAL, 3300",NA,"TERRA FIRME","66077830.000000","BELEM","PA","91.000000","32108299.000000","Crédito Mútuo","Singular","ELETROCRED@ELETROCRED.COM.BR","WWW.ELETROCRED.COM.BR","2007","10","cooperativas"
"1052245.000000","COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE E DE CONTABILISTAS DE LAGES LTDA E SIGLA UNICRED LAGES","RUA LAURO MULLER,663",NA,"CENTRO","88501131.000000","LAGES","SC","49.000000","2242604.000000","Crédito Mútuo","Singular","UNICRED@UNICRED-LAGES.COM.BR","WWW.UNICRED-LAGES.COM.BR","2007","10","cooperativas"
"1052693.000000","COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAUDE E DE CONTABILISTAS DA REGIÃO DA AMUREL LTDA","AV. MARCOLINO MARTINS CABRAL, 1788","SALA 02","CENTRO","88705001.000000","TUBARAO","SC","48.000000","6261303.000000","Crédito Mútuo","Singular","DIRETORIA@UNICRED-AMUREL.COM.BR","WWW.UNICRED-AMUREL.COM.BR","2007","10","cooperativas"
"1060307.000000","COOPERATIVA DE CREDITO DE RAUL SOARES LTDA - SICOOB CREDIRAS","RUA CAMILLO DE MOURA, Nº 452B - CENTRO",NA,"CENTRO","35350000.000000","RAUL SOARES","MG","33.000000","33511818.000000","Livre Admissão - população até 300 mil habitantes","Singular","CREDIRAS@SIGNET.COM.BR",NA,"2007","10","cooperativas"
"1062439.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA COMIGO","AV. PRESIDENTE VARGAS, 1878 SALA 320",NA,"JARDIM GOIAS","75901901.000000","RIO VERDE","GO","64.000000","6211757.000000","Crédito Mútuo","Singular","CREDICOMIGO@COMIGO.COM.BR",NA,"2007","10","cooperativas"
"1068432.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PANIFICADORES BELO HORIZONTE E  REGIÃO METROPOLITANA LTDA.","AV. DO CONTORNO, 4.614","SALA 201","FUNCIONARIOS","30110028.000000","BELO HORIZONTE","MG","31.000000","32271728.000000","Crédito Mútuo","Singular","CREDIPAO@AMIPAO.COM.BR",NA,"2007","10","cooperativas"
"1073966.000000","COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ABELARDO LUZ - CRESOL/CREDILUZ","AV. CASTELO BRANCO, N 570",NA,"CENTRO","89830000.000000","ABELARDO LUZ","SC","49.000000","34454008.000000","Crédito Rural","Singular","ABELARDOLUZ@CRESOL.COM.BR",NA,"2007","10","cooperativas"
"1077901.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS  E DEMAIS PROFISSIONAIS DA ÁREA DA SAÚDE DO VALE DO CAÍ LTDA","RUA OSVALDO ARANHA 1315 - 3. ANDAR",NA,"CENTRO","95780000.000000","MONTENEGRO","RS","51.000000","6329949.000000","Crédito Mútuo","Singular","VALEDOCAI@UNICRED-RS.COM.BR",NA,"2007","10","cooperativas"
"1086342.000000","COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE LARANJEIRAS DO SUL - CRESOL LARANJEIRAS DO SUL","RUA CORONEL GUILHERME DE PAULA, 1218",NA,"CENTRO","85304440.000000","LARANJEIRAS DO SUL","PR","42.000000","36352709.000000","Crédito Rural","Singular","LARANJEIRAS@CRESOL.COM.BR","WWW.CRESOL.COM.BR","2007","10","cooperativas"
