"CNPJ","NOME_DA_INSTITUIÇÃO","SEGMENTO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICIPIO","UF","DDD","FONE","CART_COMERCIAL","COD_COMPENSAÇÃO","EMAIL","ENDEREÇO_ELETRONICO","ano","mes","tipo"
"44189447.000000","BANCO DE LA PROVINCIA DE BUENOS AIRES","Bancos Comerciais Estrangeiro - Filial no pais ","RUA LIBERO BADARO, 425, 26. ANDAR",NA,"CENTRO","1009000.000000","SAO PAULO","SP","11.000000","31884777.000000","SIM","495.000000","PROVINCIA@BAPRO.COM.BR",NA,"2007","10","bancos"
"49336860.000000","ING BANK N.V.","Bancos Comerciais Estrangeiro - Filial no pais ","AV. BRIGADEIRO FARIA LIMA, 3400 - 11. ANDAR",NA,"ITAIM BIBI","4538132.000000","SAO PAULO","SP","11.000000","45046000.000000","SIM","492.000000","ING-BRASIL@AMERICAS.ING.COM",NA,"2007","10","bancos"
"33042953.000000","CITIBANK N.A.","Bancos Comerciais Estrangeiro - Filial no pais ","AV. PAULISTA, 1111","LOJA 1 3 SOBRELOJA","BELA VISTA","1311920.000000","SAO PAULO","SP","11.000000","40093134.000000","SIM","477.000000","CINTHIA.COSTA@CITIGROUP.COM","WWW.CITIBANK.COM.BR","2007","10","bancos"
"51938876.000000","BANCO DE LA REPUBLICA ORIENTAL DEL URUGUAY","Bancos Comerciais Estrangeiro - Filial no pais ","AV. PAULISTA, 1776","9 ANDAR","BELA VISTA","1310921.000000","SAO PAULO","SP","11.000000","32512699.000000","SIM","494.000000","SUCURSALSP@BROU.COM.BR","WWW.BANCOREPUBLICA.COM.UY","2007","10","bancos"
"33140666.000000","BANKBOSTON, N.A.","Bancos Comerciais Estrangeiro - Filial no pais ","AV. JUSCELINO KUBITSCHEK, 1400 - 2º ANDAR - PARTE",NA,"VILA NOVA CONCEIÇÃO","4543000.000000","SAO PAULO","SP","11.000000","30739500.000000","SIM","744.000000",NA,NA,"2007","10","bancos"
"46518205.000000","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","Bancos Comerciais Estrangeiro - Filial no pais ","AV BRIG FARIA LIMA, 3729 - 13 ANDAR",NA,"ITAIM BIBI","4538905.000000","SAO PAULO","SP","11.000000","30483819.000000","SIM","488.000000",NA,NA,"2007","10","bancos"
"0.000000","BANCO DO BRASIL S.A.","Banco Brasil ","SBS QUADRA 1 BLOCO G","EDIFÍCIO SEDE III - 24º ANDAR","SETOR BANCARIO SUL","70073901.000000","BRASILIA","DF","61.000000","33102521.000000","SIM","1.000000","SECEX@BB.COM.BR","WWW.BB.COM.BR","2007","10","bancos"
"92702067.000000","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.","Banco multiplo","RUA CAPITAO MONTANHA, 177",NA,"CENTRO","90018900.000000","PORTO ALEGRE","RS","51.000000","32151515.000000","SIM","41.000000",NA,"WWW.BANRISUL.COM.BR","2007","10","bancos"
"7441209.000000","BANCO MONEO S.A.","Banco multiplo","AVENIDA MARCOPOLO, 280","SALA 101","PLANALTO","95086200.000000","CAXIAS DO SUL","RS","54.000000","29911000.000000","NÃO",NA,NA,"BANCOMONEO.COM.BR","2007","10","bancos"
"92894922.000000","BANCO MATONE S.A.","Banco multiplo","RUA MARIANTE, 25","10. ANDAR","MOINHOS DE VENTO","90430181.000000","PORTO ALEGRE","RS","51.000000","35110123.000000","SIM","212.000000","MATONE@MATONE.COM.BR","WWW.BANCOMATONE.COM.BR","2007","10","bancos"
"6043056.000000","BB BANCO POPULAR DO BRASIL S.A.","Banco multiplo","SBS QUADRA 01, BLOCO A, LOTE 31 - ED. SEDE I","16.° ANDAR","ASA SUL","70073900.000000","BRASILIA","DF","61.000000","33102200.000000","SIM","73.000000",NA,NA,"2007","10","bancos"
"7656500.000000","BANCO KDB DO BRASIL S.A.","Banco multiplo","AV. BRIGADEIRO FARIA LIMA, 3400","15º ANDAR  CONJUNTO 152","ITAIM BIBI","4538132.000000","SAO PAULO","SP","11.000000","21380000.000000","SIM","76.000000","YCW@KDB.CO.KR",NA,"2007","10","bancos"
"34098442.000000","BANCO CITICARD S/A","Banco multiplo","AV. PRES. JUSCELINO KUBITSCHECK, 510","1º AO 4º ANDAR","ITAIM BIBI","4543906.000000","SAO PAULO","SP","11.000000","40093134.000000","NÃO",NA,"STELLA.PONS@CITI.COM","WWW.CREDICARDCITI.COM.BR","2007","10","bancos"
"92874270.000000","BANCO A.J. RENNER S.A.","Banco multiplo","RUA MAR FLORIANO PEIXOTO, 185, 6 ANDAR GAL LUZA",NA,"CENTRO","90020061.000000","PORTO ALEGRE","RS","51.000000","32873300.000000","SIM","654.000000","RENNER@BANCORENNER.COM.BR","BANCORENNER.COM.BR","2007","10","bancos"
"91884981.000000","BANCO JOHN DEERE S.A.","Banco multiplo","AVENIDA SOLEDADE, 550","14. ANDAR      CONJ. 1401","PETRÓPOLIS","90470340.000000","PORTO ALEGRE","RS","51.000000","30254700.000000","SIM","217.000000","BANCOJOHNDEERE@JOHNDEERE.COM",NA,"2007","10","bancos"
"8357240.000000","BANCO CARREFOUR S.A.","Banco multiplo","RUA GEORGE EASTMAN, 213","TÉRREO - PARTE","VILA TRAMONTANO","5690000.000000","SAO PAULO","SP","11.000000","37552381.000000","NÃO",NA,NA,NA,"2007","10","bancos"
"2801938.000000","BANCO MORGAN STANLEY DEAN WITTER S.A.","Banco multiplo","AV. PRES JUSCELINO KUBITSCHEK, 50","8º ANDAR","ITAIM BIBI","4543000.000000","SAO PAULO","SP","11.000000","30486000.000000","SIM","66.000000","EDISON.OLIVEIRA@MORGANSTANLEY.COM",NA,"2007","10","bancos"
"795423.000000","BANCO SEMEAR S.A.","Banco multiplo","RUA PARAIBA, 330","22. ANDAR","FUNCIONARIOS","30130140.000000","BELO HORIZONTE","MG","31.000000","35167000.000000","SIM","743.000000","JAMIRO.RESENDE@BANCOSEMEAR.COM.BR","WWW.BANCOSEMEAR.COM.BR","2007","10","bancos"
"558456.000000","BANCO BGN S.A.","Banco multiplo","RUA ANTONIO LUMACK DO MONTE, 96","SOBRELOJAS 1 E 2","BOA VIAGEM","51020350.000000","RECIFE","PE","81.000000","21238400.000000","SIM","739.000000","BGN@BGN.COM.BR","WWW.BGN.COM.BR","2007","10","bancos"
"2977348.000000","BANCO TOYOTA DO BRASIL S.A.","Banco multiplo","AV DAS NACOES UNIDAS, 12.901 17 ANDAR CJS 1701/02","TORRE OESTE","CHACARA ITAIM","4578000.000000","SAO PAULO","SP","11.000000","55042000.000000","NÃO",NA,NA,"WWW.BANCOTOYOTA.COM.BR","2007","10","bancos"
"1701201.000000","HSBC BANK BRASIL S.A. - BANCO MULTIPLO","Banco multiplo","TRAVESSA OLIVEIRA BELLO, 34 - 4. ANDAR",NA,"CENTRO","80020030.000000","CURITIBA","PR","41.000000","37776161.000000","SIM","399.000000","RSCHUNTZEMBERGER@HSBC.COM.BR","WWW.HSBC.COM.BR","2007","10","bancos"
"1023570.000000","BANCO RABOBANK INTERNATIONAL BRASIL S.A.","Banco multiplo","AV. NACOES UNIDAS, 12995 - 7º ANDAR",NA,"BROOKLIN NOVO","4578000.000000","SAO PAULO","SP","11.000000","55037000.000000","SIM","747.000000",NA,NA,"2007","10","bancos"
"3012230.000000","HIPERCARD BANCO MÚLTIPLO S.A.","Banco multiplo","RUA ERNESTO DE PAULA SANTOS 187","LOJA 1","CENTRO","51021330.000000","RECIFE","PE","81.000000","40097500.000000","SIM","62.000000","BIANCA.AZZI@UNIBANCO.COM.BR",NA,"2007","10","bancos"
"517645.000000","BANCO RIBEIRAO PRETO S.A.","Banco multiplo","AVENIDA INDEPENDENCIA, 1379",NA,"SUMARE","14025390.000000","RIBEIRAO PRETO","SP","16.000000","21014600.000000","SIM","741.000000","BRP@BRP.COM.BR","WWW.BRP.COM.BR","2007","10","bancos"
"183938.000000","BANCO GERDAU S.A","Banco multiplo","AVENIDA FARRAPOS 1811",NA,"BAIRRO FLORESTA","90220005.000000","PORTO ALEGRE","RS","51.000000","33232203.000000","SIM","734.000000","BANCO-DIR@GERDAU.COM.BR","WWW.BANCOGERDAU.COM.BR","2007","10","bancos"
"2992446.000000","BANCO CNH CAPITAL S.A.","Banco multiplo","AV JUSCELINO KUBITSCHEK DE OLIVEIRA,","11825 - PARTE","CIC","81450903.000000","CURITIBA","PR","41.000000","21077334.000000","NÃO",NA,"MARCIA.TEIXEIRA@CNH.COM","WWW.BANCOCNH.COM.BR","2007","10","bancos"
"3017677.000000","BANCO J. SAFRA S.A.","Banco multiplo","AVENIDA PAULISTA, 2150",NA,"CERQUEIRA CESAR","1310300.000000","SAO PAULO","SP","11.000000","31445000.000000","SIM","74.000000",NA,NA,"2007","10","bancos"
"4332281.000000","GOLDMAN SACHS DO BRASIL BANCO MULTIPLO S.A.","Banco multiplo","AV PRESIDENTE JUSCELINO KUBITSCHEK, 510, 6 ANDAR",NA,"VILA NOVA CONCEICAO","4543000.000000","SAO PAULO","SP","11.000000","33710700.000000","NÃO",NA,NA,NA,"2007","10","bancos"
"4184779.000000","BANCO IBI S.A. - BANCO MÚLTIPLO","Banco multiplo","ALAMEDA RIO NEGRO, 585  4º ANDAR","ED. PADAUIRI  BL B - ALPHAVILLE CENTRO INDL. EMPR.","ALPHAVILLE C. I. E.","6454000.000000","BARUERI","SP","11.000000","21349905.000000","SIM","63.000000","BANCOIBI.CONTABILIDADE@IBI.COM.BR","WWW.BANCOIBI.COM.BR","2007","10","bancos"
"1540541.000000","BANCO BEG S.A.","Banco multiplo","RUA 2 Nº 140 1ª SOBRELOJA","1ª SOBRELOJA","SETOR CENTRAL","74010020.000000","GOIANIA","GO","11.000000","50198101.000000","SIM","31.000000",NA,NA,"2007","10","bancos"
"3502961.000000","BANCO PSA FINANCE BRASIL S.A.","Banco multiplo","RUA MIGUEL YUNES, 351","PRÉDIO 1 - 1º ANDAR (PARTE)","INTERLAGOS","4444000.000000","SAO PAULO","SP","11.000000","21331767.000000","NÃO",NA,NA,NA,"2007","10","bancos"
"3609817.000000","BANCO CARGILL S.A.","Banco multiplo","AVENIDA MORUMBI, Nº 8.234, 1º ANDAR - PARTE",NA,"BROOKLIN","4703002.000000","SAO PAULO","SP","11.000000","50993311.000000","SIM","40.000000",NA,NA,"2007","10","bancos"
"1522368.000000","BANCO BNP PARIBAS BRASIL S.A.","Banco multiplo","AV PRES.JUSCELINO KUBITSCHEK, 510, 10 A 13 ANDARES",NA,"ITAIM BIBI","4543000.000000","SAO PAULO","SP","11.000000","38413100.000000","SIM","752.000000",NA,"WWW.BNPPARIBAS.COM.BR","2007","10","bancos"
"86413.000000","BANCO ÚNICO S.A.","Banco multiplo","AV.  EUSÉBIO MATOSO, 891",NA,"PINHEIROS","5423901.000000","SAO PAULO","SP","11.000000","35844042.000000","SIM","116.000000","BIANCA.AZZI@UNIBANCO.COM.BR",NA,"2007","10","bancos"
"3634220.000000","BANCO HONDA S.A.","Banco multiplo","RUA DOUTOR JOSE AUREO BUSTAMANTE , 377","BLOCO 1 - 2º ANDAR - SALA 2B","SANTO AMARO","4710090.000000","SAO PAULO","SP","11.000000","55769959.000000","NÃO",NA,"CONTABILIDADE@HONDABR.COM.BR",NA,"2007","10","bancos"
"208.000000","BRB - BANCO DE BRASILIA S.A.","Banco multiplo","SBS, QUADRA 01, BL E, EDIFICIO BRASILIA",NA,"ASA SUL","70072900.000000","BRASILIA","DF","61.000000","34128200.000000","SIM","70.000000",NA,"WWW.BRB.COM.BR","2007","10","bancos"
"33700394.000000","UNIBANCO-UNIAO DE BANCOS BRASILEIROS S.A.","Banco multiplo","AV. EUSEBIO MATOSO, 891",NA,"PINHEIROS","5423901.000000","SAO PAULO","SP","11.000000","35844042.000000","SIM","409.000000","BIANCA.AZZI@UNIBANCO.COM.BR","WWW.UNIBANCO.COM.BR","2007","10","bancos"
"76492172.000000","BANCO BANESTADO S.A.","Banco multiplo","RUA MARECHAL DEODORO, 862","2º ANDAR","CENTRO","80020320.000000","CURITIBA","PR","11.000000","50198101.000000","SIM","38.000000",NA,NA,"2007","10","bancos"
"30306294.000000","BANCO UBS PACTUAL S.A.","Banco multiplo","PRAIA DE BOTAFOGO, 501/ 5º E 6º ANDARES","TORRE CORCOVADO","BOTAFOGO","22250040.000000","RIO DE JANEIRO","RJ","21.000000","25149600.000000","SIM","208.000000","FERNANDA.JORGE@UBS.COM","WWW.UBSPACTUAL.COM.BR","2007","10","bancos"
"75647891.000000","BANCO CALYON BRASIL S.A.","Banco multiplo","ALAMEDA ITU, 852","12 ANDAR","JARDIM PAULISTA","1421001.000000","SAO PAULO","SP","11.000000","38966301.000000","SIM","222.000000","VALTER.SHINTANI@BR.CALYON.COM","WWW.CALYON.COM.BR","2007","10","bancos"
"74828799.000000","BANCO COMERCIAL URUGUAI S.A.","Banco multiplo","RUA URUGUAI, 171",NA,"CENTRO","90010140.000000","PORTO ALEGRE","RS","51.000000","32204000.000000","SIM","753.000000","CPD@BANCOCOMERCIAL.COM.BR","BANCOCOMERCIAL.COM.BR","2007","10","bancos"
"57561615.000000","BANCO FINASA S.A.","Banco multiplo","AVENIDA ALPHAVILLE, 1500, PISO 2",NA,"ALPHAVILLE","6483300.000000","BARUERI","SP","11.000000","36842742.000000","SIM","175.000000","4260.GUILHERME@BRADESCO.COM.BR",NA,"2007","10","bancos"
"57839805.000000","BANCO TRICURY S.A.","Banco multiplo","ALAMEDA JOAQUIM EUGENIO DE LIMA, 739","11º ANDAR","JARDIM PAULISTA","1403001.000000","SAO PAULO","SP","11.000000","50808000.000000","NÃO",NA,"MESA@BANCOTRICURY.COM.BR","WWW.TRICURY.COM.BR","2007","10","bancos"
"58017179.000000","BANCO VOLVO BRASIL S.A.","Banco multiplo","AV JUSCELINO KUBITSCHEK OLIVEIRA, 2600, PREDIO 90S",NA,"CIC","81260900.000000","CURITIBA","PR","41.000000","33177711.000000","NÃO",NA,NA,NA,"2007","10","bancos"
"31597552.000000","BANCO CLASSICO S.A.","Banco multiplo","AV. PRESIDENTE VARGAS, 463","13º ANDAR","CENTRO","20071003.000000","RIO DE JANEIRO","RJ","21.000000","22216142.000000","SIM","241.000000","BANCOCLASSICO@UOL.COM.BR",NA,"2007","10","bancos"
"58497702.000000","BANCO INTERCAP S.A.","Banco multiplo","AV. BRIGADEIRO FARIA LIMA, 1461","1.º E 2.º ANDARES - TORRE SUL","PINHEIROS","1451904.000000","SAO PAULO","SP","11.000000","30958200.000000","SIM","630.000000","CNT@INTERCAP.COM.BR","WWW.INTERCAP.COM.BR","2007","10","bancos"
"59118133.000000","BANCO LUSO BRASILEIRO S.A.","Banco multiplo","AV. CIDADE JARDIM, 400 - 22 ANDAR",NA,"JARDIM EUROPA","1454000.000000","SAO PAULO","SP","11.000000","30391500.000000","SIM","600.000000","INFO@LUSOBANK.COM.BR","WWW.LUSOBRASILEIRO.COM.BR","2007","10","bancos"
"6271464.000000","BANCO BRADESCO BBI S.A.","Banco multiplo","CIDADE DE DEUS, PRÉDIO NOVÍSSIMO","4º ANDAR","VILA YARA","6029900.000000","OSASCO","SP","11.000000","36842685.000000","SIM","36.000000","4260.GUILHERME@BRADESCO.COM.BR",NA,"2007","10","bancos"
"6833131.000000","BANCO DO ESTADO DO PIAUÍ S.A. - BEP","Banco multiplo","RUA TREZE DE MAIO, 307-N",NA,"CENTRO","64000150.000000","TERESINA","PI","86.000000","32215312.000000","SIM","39.000000",NA,NA,"2007","10","bancos"
"58616418.000000","BANCO FIBRA S.A.","Banco multiplo","AV BRIGADEIRO FARIA LIMA, 3729","11º  E  12º ANDARES","ITAIM BIBI","4538905.000000","SAO PAULO","SP","11.000000","38476700.000000","SIM","224.000000","MARIA.AMARAL@BANCOFIBRA.COM.BR","WWW.BANCOFIBRA.COM.BR","2007","10","bancos"
"29030467.000000","DRESDNER BANK BRASIL S.A. BANCO MULTIPLO","Banco multiplo","AV. BRIGADEIRO FARIA LIMA, 2277","7º ANDAR","JARDIM PAULISTANO","1452000.000000","SAO PAULO","SP","11.000000","22028100.000000","SIM","751.000000","DKIBBRASIL.SAOPAULO@DKIB.COM","WWW.DKIB.COM","2007","10","bancos"
"7207996.000000","BANCO BMC S.A.","Banco multiplo","AV.DAS NACOES UNIDAS,12.995","24º ANDAR/PARTE","CHACARA ITAIM","4578000.000000","SAO PAULO","SP","11.000000","55037500.000000","SIM","394.000000","BANCOBMC@BMC.COM.BR","WWW.BMC.COM.BR","2007","10","bancos"
"7237373.000000","BANCO DO NORDESTE DO BRASIL S.A.","Banco multiplo","AV. PARANJANA, 5700",NA,"PASSARE","60740000.000000","FORTALEZA","CE","85.000000","32993000.000000","SIM","4.000000","CLIENTECONSULTA@BNB.GOV.BR","WWW.BNB.GOV.BR","2007","10","bancos"
"59109165.000000","BANCO VOLKSWAGEN S.A.","Banco multiplo","RUA VOLKSWAGEN, 291",NA,"JABAQUARA","4344020.000000","SAO PAULO","SP","11.000000","55825173.000000","NÃO",NA,NA,"WWW.BANCOVOLKSWAGEN.COM.BR","2007","10","bancos"
"7450604.000000","BANCO INDUSTRIAL E COMERCIAL S.A.","Banco multiplo","AVENIDA PAULISTA, 1048","2º, 8º, 11º, 12º, 13º, 14º E 15º ANDARES","BELA VISTA","1310100.000000","SAO PAULO","SP","11.000000","21739000.000000","SIM","320.000000",NA,"WWW.BICBANCO.COM.BR","2007","10","bancos"
"58160789.000000","BANCO SAFRA S.A.","Banco multiplo","AVENIDA PAULISTA, 2100",NA,"CERQUEIRA CESAR","1310930.000000","SAO PAULO","SP","11.000000","31757575.000000","SIM","422.000000","SJTS@SAFRA.COM.BR","WWW.SAFRA.COM.BR","2007","10","bancos"
"33124959.000000","BANCO RURAL S.A.","Banco multiplo","RUA RIO DE JANEIRO, 927 - 14. ANDAR/PARTE",NA,"CENTRO","30160914.000000","BELO HORIZONTE","MG","31.000000","21265401.000000","SIM","453.000000",NA,"WWW.RURAL.COM.BR","2007","10","bancos"
"33644196.000000","BANCO FATOR S.A.","Banco multiplo","RUA DR. RENATO PAES DE BARROS, Nº 1017","11º E 12º ANDARES","ITAIM BIBI","4530001.000000","SAO PAULO","SP","11.000000","30499100.000000","SIM","265.000000",NA,"WWW.FATORONLINE.COM.BR","2007","10","bancos"
"33603457.000000","BANCO RODOBENS S.A.","Banco multiplo","RUA ESTADO DE ISRAEL, 975",NA,"VILA CLEMENTINO","4022002.000000","SAO PAULO","SP","11.000000","21248700.000000","NÃO",NA,"RODOBENSBANCO@RODOBENS.COM.BR",NA,"2007","10","bancos"
"33485541.000000","BANCO BOAVISTA INTERATLANTICO S.A.","Banco multiplo","CIDADE DE DEUS","PRÉDIO NOVÍSSIMO, 4º ANDAR","VILA YARA","6029900.000000","OSASCO","SP","11.000000","36842742.000000","SIM","248.000000","4260.GUILHERME@BRADESCO.COM.BR",NA,"2007","10","bancos"
"48795256.000000","LEMON BANK BANCO MULTIPLO S.A.","Banco multiplo","ALAMEDA  TOCANTINS N° 125","25º AND. CJ 2.502, E 26º AND. 2601 E 2602","ALPHAVILLE INDUSTRIA","6455020.000000","BARUERI","SP","11.000000","35290400.000000","SIM","65.000000","GILBERTOS@LEMON.COM","WWW.LEMONBANK.COM.BR","2007","10","bancos"
"33479023.000000","BANCO CITIBANK S.A.","Banco multiplo","AV. PAULISTA, 1111 - 2. ANDAR","PARTE","BELA VISTA","1311920.000000","SAO PAULO","SP","11.000000","40093134.000000","SIM","745.000000","CINTHIA.COSTA@CITIGROUP.COM","WWW.CITIBANK.COM.BR","2007","10","bancos"
"49925225.000000","BANCO ITAULEASING S.A.","Banco multiplo","ALAMEDA PEDRO CALIL, 43",NA,"VILA DAS ACÁCIAS","8557105.000000","POA","SP","11.000000","50198101.000000","NÃO",NA,NA,NA,"2007","10","bancos"
"33349358.000000","BANCO CACIQUE S.A.","Banco multiplo","AVENIDA CIDADE JARDIM, 803",NA,"JARDIM EUROPA","1453000.000000","SAO PAULO","SP","11.000000","30485000.000000","SIM","263.000000","MARKETING@BANCOCACIQUE.COM.BR","WWW.HTP.BANCOCACIQUE.COM.BR","2007","10","bancos"
"50585090.000000","BANCO SCHAHIN S.A.","Banco multiplo","RUA VERGUEIRO, 2009","2O. ANDAR","VILA MARIANA","4101905.000000","SAO PAULO","SP","11.000000","55768035.000000","SIM","250.000000","ATENDIMENTO@BANCOSCHAHIN.COM.BR","WWW.SCHAHIN.COM.BR/BANCO/BR","2007","10","bancos"
"31895683.000000","BANCO INDUSTRIAL DO BRASIL S.A.","Banco multiplo","AV. PRES. JUSCELINO KUBITSCHEK, 1703",NA,"VILA NOVA CONCEIÇÃO","4543901.000000","SAO PAULO","SP","11.000000","30499700.000000","SIM","604.000000","DIRETORIA@BANCOINDUSTRIAL.COM.BR","WWW.BANCOINDUSTRIAL.COM.BR","2007","10","bancos"
"33132044.000000","BANCO CEDULA S.A.","Banco multiplo","RUA GONCALVES DIAS, 65 A 67",NA,"CENTRO","20050030.000000","RIO DE JANEIRO","RJ","21.000000","22215512.000000","SIM","266.000000","BANCOCEDULA@BANCOCEDULA.COM.BR","WWW.BANCOCEDULA.COM.BR","2007","10","bancos"
"31880826.000000","BANCO GUANABARA S.A.","Banco multiplo","AVENIDA BRASIL, 8255","3º ANDAR","OLARIA","21030000.000000","RIO DE JANEIRO","RJ","21.000000","25629600.000000","SIM","612.000000","BGB01@UNINET.COM.BR",NA,"2007","10","bancos"
"33098518.000000","BANCO FININVEST S.A.","Banco multiplo","RUA DA PASSAGEM Nº 170","4º ANDAR","BOTAFOGO","22290904.000000","RIO DE JANEIRO","RJ","11.000000","35844042.000000","SIM","252.000000","BIANCA.AZZI@UNIBANCO.COM.BR",NA,"2007","10","bancos"
"33074683.000000","BANCO RURAL MAIS S.A.","Banco multiplo","RUA RIO DE JANEIRO","927, 15º ANDAR - PARTE","CENTRO","30160914.000000","BELO HORIZONTE","MG","31.000000","21265401.000000","SIM","72.000000",NA,NA,"2007","10","bancos"
"33066408.000000","BANCO ABN AMRO REAL S.A.","Banco multiplo","AV PAULISTA, 1374, 3 ANDAR",NA,"BELA VISTA","1310916.000000","SAO PAULO","SP","11.000000","31749615.000000","SIM","356.000000",NA,"WWW.BANCOREAL.COM.BR","2007","10","bancos"
"80271455.000000","BANCO MAXINVEST S.A.","Banco multiplo","ROD BR-116, KM 399, N. 6490, TREVO RODOV.DO TARUMA",NA,"TARUMA","82590300.000000","CURITIBA","PR","41.000000","3607103.000000","NÃO",NA,"BANCOMAXINVEST@BANCOMAXINVEST.COM.BR",NA,"2007","10","bancos"
"78632767.000000","BANCO OURINVEST S.A.","Banco multiplo","AV. PAULISTA, 1728","SOBRELOJA,1º,2º,10º E 11º ANDARES","BELA VISTA","1310200.000000","SAO PAULO","SP","11.000000","40814444.000000","NÃO",NA,"OURINVEST@OURINVEST.COM.BR","WWW.OURINVEST.COM.BR","2007","10","bancos"
